leaguegoals	isamongtopscorers	yellows	isamongtopscorersinteam	jerseynumber	position	artificialkey	teamid	injury	leagueappearances	prevform	istopscorer	playerid	form	reds
0	0	0	0	2	4	52	271	0	5	3	0	102129	3	0
0	0	1	0	4	6	53	271	0	3	3	0	153302	3	0
0	0	2	0	6	7	54	271	0	5	3	0	169602	3	0
0	0	0	0	9	12	55	271	0	3	3	0	45101	3	0
0	0	0	0	8	13	56	271	0	6	3	0	51378	3	0
1	0	0	1	10	15	57	271	0	3	3	0	136834	3	0
1	0	1	1	7	16	58	271	0	7	3	0	155742	3	0
0	0	2	0	11	24	59	271	0	5	3	0	156707	3	0
0	0	0	0	14	26	60	271	0	4	3	0	45880	3	0
0	0	0	0	23	28	61	271	0	0	3	0	172574	3	0
0	0	1	0	27	28	62	271	0	6	3	0	155525	3	0
0	0	0	0	16	28	63	271	0	1	3	0	204152	3	0
1	0	0	1	30	28	64	271	0	6	3	0	190313	3	0
0	0	0	0	15	28	65	271	0	1	3	0	153042	3	0
0	0	1	0	37	28	66	271	0	7	3	0	194431	3	0
5	1	0	1	20	28	67	271	0	7	3	0	203793	3	0
0	0	0	0	24	28	68	271	0	0	3	0	210249	3	0
0	0	0	0	22	28	69	271	0	1	3	0	203811	3	0
0	0	0	0	25	28	70	271	0	0	3	0	172560	3	0
0	0	0	0	32	28	71	271	0	2	3	0	207638	3	0
1	0	0	1	17	28	72	271	0	7	3	0	191081	3	0
0	0	0	0	38	29	73	271	0	7	3	0	194569	3	0
0	0	0	0	26	29	74	271	0	3	3	0	201293	3	0
0	0	0	0	1	0	75	272	0	5	3	0	6668	3	0
0	0	0	0	2	3	76	272	0	7	3	0	148696	3	0
0	0	1	0	5	4	77	272	0	7	3	0	44985	3	0
0	0	0	0	26	6	78	272	0	7	3	0	201301	3	1
0	0	0	0	24	7	79	272	0	7	3	0	201304	3	0
0	0	1	0	4	9	80	272	0	7	3	0	31624	3	0
1	0	1	1	18	11	81	272	0	5	3	0	201284	3	0
0	0	3	0	10	12	82	272	0	6	3	0	139837	3	0
1	0	2	1	16	16	83	272	0	7	3	0	204730	3	0
1	0	3	1	21	24	84	272	0	7	3	0	173667	3	0
0	0	1	0	9	26	85	272	0	7	3	0	201303	3	0
0	0	0	0	17	28	86	272	0	3	3	0	172484	3	0
2	0	1	1	11	28	87	272	0	7	3	0	45587	3	0
0	0	0	0	15	28	88	272	0	2	3	0	208102	3	0
0	0	0	0	20	28	89	272	0	0	3	0	178554	3	0
0	0	3	0	23	28	90	272	0	3	3	0	210271	3	0
0	0	0	0	25	28	91	272	0	1	3	0	204017	3	0
2	0	0	1	7	28	92	272	0	7	3	0	199791	3	0
0	0	0	0	6	28	93	272	0	0	3	0	210272	3	0
0	0	0	0	22	28	94	272	0	0	3	0	210273	3	0
0	0	0	0	14	28	95	272	0	0	3	0	209704	3	0
0	0	0	0	19	28	96	272	0	0	3	0	176680	3	0
0	0	0	0	21	0	97	819	0	6	3	0	32740	3	0
0	0	0	0	2	3	98	819	0	5	3	0	24717	3	0
1	0	3	1	5	4	99	819	0	3	3	0	159096	3	0
0	0	1	0	17	6	100	819	0	6	3	0	179897	3	0
0	0	0	0	3	7	101	819	0	5	3	0	181343	3	0
0	0	0	0	30	12	102	819	0	7	3	0	175753	3	0
1	0	1	1	6	13	103	819	0	5	3	0	186935	3	2
0	0	0	0	16	15	104	819	0	7	3	0	164626	3	0
1	0	4	1	20	16	105	819	0	7	3	0	151586	3	0
2	0	0	1	7	24	106	819	0	5	3	0	190425	3	0
7	1	1	1	11	26	107	819	0	7	3	1	159005	3	0
0	0	0	0	1	28	108	819	0	1	3	0	151708	3	0
0	0	0	0	8	28	109	819	0	2	3	0	104476	3	0
0	0	0	0	23	28	110	819	0	0	3	0	189377	3	0
0	0	1	0	27	28	111	819	0	1	3	0	193283	3	0
5	1	0	1	29	28	112	819	0	7	3	0	201943	3	0
2	0	1	1	18	28	113	819	0	7	3	0	199852	3	0
0	0	0	0	4	28	114	819	0	4	3	0	151515	3	0
0	0	0	0	28	28	115	819	0	2	3	0	120339	3	0
0	0	1	0	15	28	116	819	0	1	3	0	162407	3	0
0	0	0	0	25	28	117	819	0	2	3	0	201944	3	0
0	0	0	0	24	28	118	819	0	0	3	0	204821	3	0
0	0	0	0	9	28	119	819	0	0	3	0	206018	3	0
0	0	0	0	31	29	120	819	0	0	3	0	209957	3	0
0	0	0	0	1	0	121	820	0	7	3	0	200209	3	0
0	0	0	0	16	3	122	820	0	0	3	0	156252	3	0
0	0	2	0	5	4	123	820	0	7	3	0	155541	3	0
2	0	1	1	4	6	124	820	0	6	3	0	177373	3	0
0	0	1	0	3	7	125	820	0	7	3	0	194726	3	0
0	0	0	0	2	12	126	820	0	7	3	0	172573	3	0
1	0	0	1	9	13	127	820	0	7	3	0	45552	3	0
0	0	3	0	8	15	128	820	0	7	3	0	131444	3	0
0	0	0	0	7	16	129	820	0	6	3	0	151710	3	0
4	0	1	1	11	24	130	820	0	7	3	0	201265	3	0
1	0	0	1	10	26	131	820	0	6	3	0	169534	3	0
0	0	0	0	22	28	132	820	0	0	3	0	205090	3	0
0	0	0	0	21	28	133	820	0	1	3	0	205091	3	0
0	0	0	0	26	28	134	820	0	1	3	0	209711	3	0
0	0	0	0	29	28	135	820	0	2	3	0	205413	3	0
0	0	0	0	30	28	136	820	0	0	3	0	183452	3	0
1	0	0	1	14	28	137	820	0	4	3	0	194724	3	0
3	0	1	1	17	28	138	820	0	7	3	0	201266	3	0
1	0	0	1	20	28	139	820	0	7	3	0	190633	3	0
0	0	0	0	23	28	140	820	0	1	3	0	205929	3	0
0	0	1	0	1	0	141	1445	0	7	3	0	190941	3	0
0	0	2	0	2	3	142	1445	0	5	3	0	190942	3	1
0	0	0	0	21	4	143	1445	0	6	3	0	30690	3	0
0	0	1	0	24	6	144	1445	0	5	3	0	52280	3	0
0	0	0	0	4	7	145	1445	0	4	3	0	193179	3	0
0	0	0	0	27	10	146	1445	0	1	3	0	201272	3	0
0	0	0	0	12	12	147	1445	0	7	3	0	192974	3	0
3	0	0	1	19	16	148	1445	0	7	3	0	201271	3	0
1	0	0	1	32	18	149	1445	0	7	3	0	193290	3	0
2	0	0	1	22	24	150	1445	0	7	3	0	164642	3	0
1	0	0	1	9	26	151	1445	0	6	3	0	189721	3	0
0	0	0	0	16	28	152	1445	0	0	3	0	5462	3	0
0	0	2	0	23	28	153	1445	0	7	3	0	199748	3	0
0	0	1	0	7	28	154	1445	0	5	3	0	142271	3	0
0	0	0	0	14	28	155	1445	0	0	3	0	208698	3	0
0	0	0	0	20	28	156	1445	0	0	3	0	209713	3	0
0	0	0	0	8	28	157	1445	0	3	3	0	151753	3	0
0	0	1	0	10	28	158	1445	0	4	3	0	172653	3	0
0	0	0	0	30	28	159	1445	0	0	3	0	209699	3	0
0	0	0	0	25	28	160	1445	0	0	3	0	202381	3	0
0	0	0	0	15	28	161	1445	0	0	3	0	177912	3	0
0	0	0	0	29	28	162	1445	0	0	3	0	199744	3	0
0	0	0	0	17	28	163	1445	0	0	3	0	210739	3	0
0	0	0	0	11	29	164	1445	0	2	3	0	209702	3	0
0	0	0	0	3	29	165	1445	0	2	3	0	208564	3	0
0	0	0	0	30	0	166	1446	0	7	3	0	201269	3	0
0	0	0	0	5	3	167	1446	0	5	3	0	205533	3	0
0	0	1	0	3	4	168	1446	0	7	3	0	172281	3	0
0	0	1	0	19	6	169	1446	0	7	3	0	201411	3	0
1	0	1	1	13	7	170	1446	0	7	3	0	152031	3	0
1	0	1	1	10	12	171	1446	0	6	3	0	172516	3	2
0	0	1	0	20	13	172	1446	0	7	3	0	178461	3	0
0	0	0	0	14	15	173	1446	0	1	3	0	41270	3	0
2	0	1	1	26	16	174	1446	0	7	3	0	205535	3	0
2	0	0	1	8	24	175	1446	0	6	3	0	186784	3	0
1	0	0	1	12	26	176	1446	0	5	3	0	155739	3	0
0	0	0	0	23	28	177	1446	0	0	3	0	176870	3	0
0	0	0	0	4	28	178	1446	0	3	3	0	137026	3	0
0	0	0	0	6	28	179	1446	0	0	3	0	120355	3	0
0	0	1	0	15	28	180	1446	0	6	3	0	138086	3	0
1	0	0	1	25	28	181	1446	0	4	3	0	201267	3	0
0	0	0	0	2	28	182	1446	0	3	3	0	151664	3	0
0	0	0	0	29	28	183	1446	0	4	3	0	205534	3	0
0	0	0	0	18	28	184	1446	0	3	3	0	183492	3	0
0	0	2	0	9	28	185	1446	0	7	3	0	152078	3	0
0	0	0	0	34	28	186	1446	0	0	3	0	210718	3	0
0	0	0	0	27	28	187	1446	0	2	3	0	162888	3	0
0	0	0	0	27	0	188	1447	0	0	3	0	172572	3	0
0	0	0	0	19	3	189	1447	0	4	3	0	189238	3	0
0	0	1	0	5	4	190	1447	0	7	3	0	120326	3	0
0	0	0	0	3	6	191	1447	0	0	3	0	151568	3	0
0	0	0	0	14	7	192	1447	0	3	3	0	202436	3	0
0	0	0	0	9	12	193	1447	0	7	3	0	52279	3	0
0	0	2	0	16	13	194	1447	0	7	3	0	179647	3	0
0	0	0	0	15	15	195	1447	0	0	3	0	179643	3	0
1	0	2	1	8	16	196	1447	0	7	3	0	52278	3	0
1	0	1	1	20	24	197	1447	0	7	3	0	198538	3	0
2	0	0	1	10	26	198	1447	0	6	3	0	196064	3	0
0	0	0	0	1	28	199	1447	0	7	3	0	51694	3	0
1	0	0	1	6	28	200	1447	0	5	3	0	135401	3	0
1	0	0	1	18	28	201	1447	0	4	3	0	181451	3	0
2	0	1	1	22	28	202	1447	0	7	3	0	204755	3	0
0	0	0	0	7	28	203	1447	0	6	3	0	186922	3	0
0	0	0	0	12	28	204	1447	0	0	3	0	204340	3	0
3	0	0	1	17	28	205	1447	0	7	3	0	184218	3	0
0	0	0	0	4	28	206	1447	0	1	3	0	191095	3	0
0	0	0	0	24	28	207	1447	0	2	3	0	207886	3	0
0	0	0	0	28	28	208	1447	0	0	3	0	210654	3	0
0	0	0	0	31	28	209	1447	0	0	3	0	211126	3	0
0	0	0	0	11	28	210	1447	0	0	3	0	152038	3	0
0	0	1	0	1	0	211	1516	0	6	3	0	172553	3	0
0	0	3	0	3	3	212	1516	0	5	3	0	151648	3	0
0	0	1	0	5	4	213	1516	0	5	3	0	10468	3	0
0	0	1	0	32	6	214	1516	0	6	3	0	49992	3	0
0	0	0	0	6	7	215	1516	0	7	3	0	179646	3	0
4	0	3	1	44	23	216	1516	0	7	3	0	199752	3	0
0	0	0	0	11	13	217	1516	0	7	3	0	155517	3	0
0	0	4	0	43	14	218	1516	0	6	3	0	194429	3	0
0	0	0	0	8	15	219	1516	0	4	3	0	158933	3	0
1	0	0	1	36	27	220	1516	0	5	3	0	199750	3	0
3	0	2	1	10	25	221	1516	0	3	3	0	178256	3	0
0	0	1	0	14	28	222	1516	0	1	3	0	207633	3	0
0	0	0	0	18	28	223	1516	0	6	3	0	199745	3	2
0	0	0	0	2	28	224	1516	0	4	3	0	210645	3	0
0	0	1	0	9	28	225	1516	0	4	3	0	45104	3	0
2	0	0	1	17	28	226	1516	0	7	3	0	189383	3	0
0	0	0	0	39	28	227	1516	0	6	3	0	186925	3	0
0	0	0	0	19	28	228	1516	0	3	3	0	210245	3	0
0	0	0	0	31	28	229	1516	0	0	3	0	205896	3	0
0	0	0	0	15	28	230	1516	0	2	3	0	199747	3	0
0	0	0	0	16	28	231	1516	0	0	3	0	210738	3	0
0	0	0	0	29	28	232	1516	0	0	3	0	210453	3	0
0	0	0	0	37	28	233	1516	0	3	3	0	210454	3	0
0	0	0	0	28	29	234	1516	0	0	3	0	210646	3	0
0	0	0	0	41	29	235	1516	0	0	3	0	199749	3	0
0	0	0	0	1	0	236	1786	0	7	3	0	162052	3	0
0	0	1	0	4	3	237	1786	0	7	3	0	142270	3	0
0	0	2	0	13	4	238	1786	0	7	3	0	192363	3	0
0	0	3	0	23	6	239	1786	0	7	3	0	17815	3	0
0	0	1	0	15	7	240	1786	0	7	3	0	151095	3	0
1	0	3	1	17	12	241	1786	0	7	3	0	52115	3	0
0	0	4	0	3	13	242	1786	0	7	3	0	18708	3	0
1	0	0	1	14	15	243	1786	0	7	3	0	177771	3	0
1	0	3	1	21	16	244	1786	0	7	3	0	183778	3	0
3	0	1	1	11	24	245	1786	0	7	3	0	172555	3	0
2	0	0	1	9	26	246	1786	0	4	3	0	184135	3	0
0	0	0	0	25	28	247	1786	0	0	3	0	186752	3	0
0	0	0	0	8	28	248	1786	0	6	3	0	179692	3	0
0	0	0	0	5	28	249	1786	0	1	3	0	138091	3	0
0	0	0	0	18	28	250	1786	0	1	3	0	210716	3	0
1	0	0	1	20	28	251	1786	0	6	3	0	41049	3	0
0	0	0	0	6	28	252	1786	0	0	3	0	176284	3	0
0	0	0	0	22	28	253	1786	0	0	3	0	210717	3	0
0	0	0	0	39	28	254	1786	0	0	3	0	201433	3	0
0	0	0	0	7	28	255	1786	0	0	3	0	169448	3	0
0	0	0	0	33	28	256	1786	0	5	3	0	174812	3	0
0	0	0	0	44	28	257	1786	0	2	3	0	211095	3	0
0	0	0	0	1	0	258	1788	0	7	3	0	132740	3	0
0	0	2	0	4	3	259	1788	0	2	3	0	152047	3	0
0	0	3	0	2	4	260	1788	0	6	3	0	204163	3	0
2	0	2	1	18	6	261	1788	0	5	3	0	164839	3	0
1	0	1	0	8	7	262	1788	0	4	3	0	10824	3	0
3	0	0	1	20	23	263	1788	0	6	3	0	152048	3	0
0	0	0	0	6	13	264	1788	0	6	3	0	190424	3	0
3	0	0	1	7	15	265	1788	0	7	3	0	9722	3	0
6	1	0	1	15	27	266	1788	0	4	3	0	183593	3	0
2	0	1	1	17	18	267	1788	0	7	3	0	142273	3	0
1	0	1	0	10	25	268	1788	0	5	3	0	151590	3	0
0	0	0	0	25	28	269	1788	0	0	3	0	190947	3	0
0	0	3	0	21	28	270	1788	0	7	3	0	208099	3	0
0	0	0	0	12	28	271	1788	0	4	3	0	176793	3	0
0	0	0	0	30	28	272	1788	0	2	3	0	210641	3	0
0	0	0	0	11	28	273	1788	0	4	3	0	49192	3	0
2	0	0	1	22	28	274	1788	0	5	3	0	190943	3	0
0	0	1	0	5	28	275	1788	0	4	3	0	199792	3	0
0	0	1	0	19	28	276	1788	0	3	3	0	190945	3	0
0	0	0	0	14	28	277	1788	0	0	3	0	189554	3	0
0	0	0	0	34	28	278	1788	0	0	3	0	210644	3	0
0	0	0	0	29	28	279	1788	0	0	3	0	210640	3	0
0	0	0	0	24	28	280	1788	0	0	3	0	203176	3	0
0	0	0	0	16	29	281	1788	0	0	3	0	172477	3	0
0	0	0	0	32	29	282	1788	0	0	3	0	210642	3	0
0	0	0	0	23	29	283	1788	0	3	3	0	208097	3	0
0	0	0	0	13	29	284	1788	0	1	3	0	193319	3	0
0	0	0	0	27	29	285	1788	0	0	3	0	210636	3	0
0	0	0	0	1	0	286	229	0	4	3	0	47201	3	0
0	0	2	0	8	3	287	229	0	5	3	0	185349	3	0
0	0	1	0	27	4	288	229	0	5	3	0	148569	3	0
0	0	0	0	16	6	289	229	0	2	3	0	186801	3	0
1	0	0	1	3	7	290	229	0	3	3	0	49161	3	0
0	0	1	0	30	12	291	229	0	4	3	0	163186	3	0
0	0	0	0	5	13	292	229	0	4	3	0	158963	3	0
1	0	1	1	10	15	293	229	0	4	3	0	187789	3	0
1	0	1	1	11	16	294	229	0	5	3	0	143666	3	0
0	0	0	0	21	24	295	229	0	5	3	0	175818	3	0
3	0	0	1	25	26	296	229	0	4	3	0	177392	3	0
0	0	0	0	13	28	297	229	0	1	3	0	188400	3	0
0	0	0	0	23	28	298	229	0	1	3	0	141284	3	0
0	0	1	0	20	28	299	229	0	4	3	0	163670	3	0
0	0	0	0	19	28	300	229	0	4	3	0	176062	3	0
0	0	0	0	26	28	301	229	0	2	3	0	199652	3	0
0	0	0	0	55	28	302	229	0	1	3	0	199651	3	0
2	0	0	1	17	28	303	229	0	4	3	0	169221	3	0
0	0	0	0	6	28	304	229	0	1	3	0	207570	3	0
0	0	0	0	45	28	305	229	0	1	3	0	203633	3	0
0	0	0	0	77	28	306	229	0	1	3	0	190517	3	0
0	0	0	0	7	28	307	229	0	0	3	0	187337	3	0
0	0	0	0	14	28	308	229	0	0	3	0	193091	3	0
0	0	0	0	9	29	309	229	0	0	3	0	188042	3	0
0	0	0	0	4	29	310	229	0	1	3	0	191256	3	0
0	0	0	0	70	29	311	229	0	1	3	0	188070	3	0
0	0	0	0	37	29	312	229	0	0	3	0	207537	3	0
0	0	0	0	15	29	313	229	0	0	3	0	191034	3	0
0	0	0	0	39	0	318	231	0	2	3	0	183197	3	0
0	0	0	0	4	3	319	231	0	3	3	0	5461	3	0
0	0	3	0	18	4	320	231	0	5	3	0	178255	3	0
0	0	1	0	14	6	321	231	0	3	3	0	171933	3	0
0	0	2	0	22	7	322	231	0	5	3	0	192707	3	0
0	0	1	0	6	10	323	231	0	3	3	0	135032	3	0
4	1	1	1	19	23	324	231	0	4	3	0	202371	3	0
0	0	0	0	32	13	325	231	0	3	3	0	175895	3	0
1	0	1	1	11	15	326	231	0	4	3	0	49678	3	0
4	1	1	1	8	27	327	231	0	4	3	0	164878	3	0
1	0	0	1	7	25	328	231	0	3	3	0	157723	3	0
0	0	0	0	33	28	329	231	0	3	3	0	138529	3	0
0	0	0	0	2	28	330	231	0	3	3	0	148673	3	0
0	0	0	0	20	28	331	231	0	3	3	0	197698	3	0
0	0	0	0	10	28	332	231	0	2	3	0	138089	3	0
1	0	0	1	13	28	333	231	0	3	3	0	189508	3	1
0	0	0	0	16	28	334	231	0	4	3	0	192537	3	0
2	0	0	1	70	28	335	231	0	2	3	0	207664	3	0
0	0	0	0	50	28	336	231	0	0	3	0	201937	3	0
0	0	1	0	3	28	337	231	0	1	3	0	181298	3	0
0	0	0	0	9	28	338	231	0	1	3	0	134787	3	0
0	0	0	0	21	28	339	231	0	0	3	0	176018	3	0
0	0	0	0	41	28	340	231	0	0	3	0	210831	3	0
0	0	0	0	17	29	341	231	0	1	3	0	206393	3	0
0	0	0	0	5	29	342	231	0	0	3	0	49886	3	0
0	0	0	0	28	29	343	231	0	0	3	0	204229	3	0
0	0	0	0	29	29	344	231	0	0	3	0	204227	3	0
0	0	0	0	40	29	345	231	0	0	3	0	210828	3	0
0	0	0	0	1	0	347	232	0	5	3	0	180739	3	0
0	0	1	0	2	3	348	232	0	4	3	0	172322	3	0
0	0	2	0	6	4	349	232	0	5	3	0	157678	3	0
0	0	2	0	37	6	350	232	0	5	3	0	53630	3	0
0	0	0	0	15	7	351	232	0	4	3	0	163369	3	0
0	0	2	0	21	9	352	232	0	5	3	0	181402	3	0
3	0	1	1	19	11	353	232	0	5	3	0	178136	3	0
0	0	2	0	11	12	354	232	0	5	3	0	189175	3	0
2	0	0	1	20	16	355	232	0	5	3	0	172613	3	0
2	0	0	1	10	18	356	232	0	4	3	0	182861	3	0
3	0	1	1	39	25	357	232	0	3	3	0	208022	3	0
0	0	0	0	18	28	358	232	0	0	3	0	184167	3	0
0	0	0	0	5	28	359	232	0	1	3	0	194858	3	0
0	0	0	0	44	28	360	232	0	2	3	0	208309	3	0
0	0	0	0	77	28	361	232	0	4	3	0	169053	3	0
1	0	0	1	8	28	362	232	0	5	3	0	193029	3	0
0	0	0	0	9	28	363	232	0	2	3	0	202104	3	0
0	0	0	0	31	28	364	232	0	3	3	0	170814	3	0
0	0	0	0	38	28	365	232	0	0	3	0	162220	3	0
0	0	0	0	40	28	366	232	0	2	3	0	187858	3	0
0	0	0	0	36	28	367	232	0	0	3	0	204352	3	0
0	0	0	0	3	28	368	232	0	0	3	0	199051	3	0
0	0	0	0	4	28	369	232	0	0	3	0	190494	3	0
0	0	0	0	7	29	370	232	0	0	3	0	206489	3	0
0	0	0	0	25	29	371	232	0	0	3	0	199474	3	0
0	0	0	0	23	29	372	232	0	0	3	0	204529	3	0
0	0	0	0	42	29	373	232	0	0	3	0	211460	3	0
0	0	0	0	41	29	374	232	0	0	3	0	211461	3	0
0	0	0	0	1	0	376	239	0	5	3	0	199641	3	0
0	0	0	0	16	3	377	239	0	5	3	0	172325	3	0
0	0	0	0	21	4	378	239	0	1	3	0	156289	3	0
0	0	0	0	13	6	379	239	0	5	3	0	195843	3	0
0	0	2	0	23	7	380	239	0	5	3	0	163658	3	0
1	0	1	1	33	23	381	239	0	5	3	0	207651	3	0
0	0	1	0	18	13	382	239	0	5	3	0	198782	3	0
0	0	0	0	19	15	383	239	0	5	3	0	163640	3	0
0	0	1	0	8	27	384	239	0	4	3	0	192365	3	0
2	0	2	1	25	18	385	239	0	5	3	0	165314	3	0
1	0	1	1	24	25	386	239	0	5	3	0	209294	3	0
0	0	0	0	12	28	387	239	0	0	3	0	184158	3	0
0	0	1	0	17	28	388	239	0	1	3	0	196681	3	0
0	0	0	0	5	28	389	239	0	0	3	0	208805	3	0
0	0	0	0	10	28	390	239	0	4	3	0	138394	3	0
0	0	0	0	35	28	391	239	0	2	3	0	208628	3	1
0	0	0	0	7	28	392	239	0	4	3	0	197269	3	0
1	0	0	1	11	28	393	239	0	3	3	0	205464	3	0
0	0	0	0	22	28	394	239	0	0	3	0	196107	3	0
0	0	0	0	2	28	395	239	0	0	3	0	108583	3	0
0	0	0	0	27	28	396	239	0	0	3	0	205380	3	0
0	0	0	0	9	28	397	239	0	0	3	0	195065	3	0
0	0	0	0	14	28	398	239	0	0	3	0	198873	3	0
0	0	0	0	37	29	399	239	0	0	3	0	210605	3	0
0	0	0	0	15	29	400	239	0	0	3	0	179984	3	0
0	0	0	0	4	29	401	239	0	0	3	0	178140	3	0
0	0	0	0	20	29	402	239	0	0	3	0	207529	3	0
0	0	0	0	29	29	403	239	0	0	3	0	155407	3	0
0	0	0	0	35	0	406	670	0	4	3	0	190792	3	0
0	0	0	0	8	2	407	670	0	5	3	0	202416	3	0
0	0	2	0	17	4	408	670	0	4	3	0	202120	3	0
1	0	0	1	21	5	409	670	0	4	3	0	202607	3	1
0	0	1	0	5	6	410	670	0	5	3	0	208386	3	0
0	0	0	0	19	8	411	670	0	2	3	0	170355	3	0
1	0	2	1	25	10	412	670	0	4	3	0	202600	3	1
0	0	2	0	27	12	413	670	0	5	3	0	176964	3	0
1	0	0	1	77	16	414	670	0	5	3	0	168732	3	0
0	0	0	0	10	18	415	670	0	5	3	0	176007	3	0
1	0	2	1	31	25	416	670	0	5	3	0	208387	3	0
0	0	0	0	23	28	417	670	0	1	3	0	184088	3	0
0	0	0	0	3	28	418	670	0	2	3	0	169551	3	0
0	0	1	0	14	28	419	670	0	2	3	0	184188	3	0
0	0	2	0	28	28	420	670	0	2	3	0	208388	3	0
0	0	0	0	80	28	421	670	0	3	3	0	208389	3	0
1	0	0	1	24	28	422	670	0	3	3	0	172649	3	0
0	0	0	0	20	28	423	670	0	0	3	0	157495	3	0
0	0	1	0	99	28	424	670	0	1	3	0	210694	3	0
0	0	0	0	16	28	425	670	0	1	3	0	146452	3	0
0	0	0	0	6	28	426	670	0	0	3	0	209673	3	0
0	0	1	0	9	28	427	670	0	4	3	0	210794	3	0
0	0	0	0	26	28	428	670	0	1	3	0	199864	3	0
0	0	0	0	30	29	429	670	0	1	3	0	188603	3	0
0	0	0	0	32	29	430	670	0	0	3	0	176280	3	0
0	0	0	0	33	29	431	670	0	0	3	0	200178	3	0
0	0	0	0	22	29	432	670	0	0	3	0	195862	3	0
0	0	0	0	29	29	433	670	0	0	3	0	196991	3	0
0	0	0	0	26	0	439	673	0	5	3	0	186260	3	0
0	0	0	0	21	3	440	673	0	5	3	0	170916	3	0
0	0	1	0	16	4	441	673	0	5	3	0	186564	3	0
0	0	1	0	20	6	442	673	0	5	3	0	202608	3	0
0	0	0	0	3	7	443	673	0	5	3	0	188756	3	0
2	0	0	1	19	12	444	673	0	5	3	0	156535	3	0
0	0	0	0	7	13	445	673	0	5	3	0	191096	3	1
1	0	2	1	10	15	446	673	0	5	3	0	158271	3	0
0	0	0	0	18	16	447	673	0	2	3	0	142344	3	0
2	0	1	1	9	24	448	673	0	5	3	0	176137	3	0
0	0	0	0	14	26	449	673	0	0	3	0	199614	3	0
0	0	0	0	22	28	450	673	0	1	3	0	185306	3	1
0	0	0	0	5	28	451	673	0	1	3	0	201024	3	0
0	0	0	0	40	28	452	673	0	0	3	0	205618	3	0
1	0	0	1	8	28	453	673	0	4	3	0	188406	3	0
