teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	previousyeartableposition	highestpossible	teamform	highestprobable	artificialkey	nummatchesplayed	teamid	gapresult	grouping	currenttableposition	objective	actualvsexpectations	unbeatenhome	lastgameresult	unbeatenaway	teamlongform
33	0	1	1	1	0	31	31	11	0	1	3	203	1	110364	1	3	9	3	1	1	1	1	33
100	0	0	1	1	0	31	31	13	0	2	3	204	1	110374	0	3	6	2	2	1	0	1	100
100	0	0	0	1	0	31	31	17	0	2	2	205	1	110556	1	1	3	4	0	1	0	1	100
0	0	1	0	0	0	32	31	8	6	0	5	206	1	190	2	3	12	8	2	1	2	0	0
33	0	1	1	1	0	32	32	10	6	1	3	207	1	203	1	5	20	8	4	1	1	1	33
33	0	1	1	1	0	32	32	4	6	1	8	208	1	206	2	8	7	6	3	1	1	1	33
0	0	1	0	0	0	32	32	21	6	0	5	209	1	570	2	3	13	5	0	1	2	0	0
33	0	1	0	1	0	32	32	12	6	1	3	210	1	1744	1	5	16	3	2	1	1	1	33
33	0	1	0	1	0	32	32	18	6	1	3	211	1	1746	1	3	9	5	0	1	1	1	33
100	0	0	1	1	0	32	32	17	6	2	6	212	1	1844	1	6	2	3	0	1	0	1	100
0	0	1	0	0	0	32	32	15	6	0	5	213	1	1846	2	5	18	5	2	1	2	0	0
0	0	1	0	0	0	32	32	12	6	0	5	214	1	1847	2	3	10	5	0	1	2	0	0
100	0	0	0	1	0	32	32	13	6	2	8	215	1	1848	1	5	19	3	3	1	0	1	100
100	0	0	0	1	0	32	32	11	6	2	7	216	1	110734	1	7	4	3	0	1	0	1	100
100	0	0	0	1	0	32	32	22	6	2	7	217	1	110741	1	7	3	8	0	1	0	1	100
33	0	1	0	1	0	32	32	7	6	1	3	218	1	110912	2	5	17	7	4	1	1	1	33
0	0	1	0	0	0	32	31	20	6	0	5	219	1	110915	2	3	15	6	4	0	2	1	0
33	0	1	0	1	0	32	32	14	6	1	3	220	1	111491	1	5	22	5	2	1	1	1	33
100	0	0	0	1	0	32	32	3	6	2	6	221	1	111974	1	6	1	7	0	1	0	1	100
0	0	1	0	0	0	32	32	16	6	0	5	222	1	111993	2	3	10	5	0	1	2	0	0
33	0	1	0	1	0	32	32	19	6	1	3	223	1	112020	1	8	8	5	0	1	1	1	33
0	0	1	0	0	0	32	32	9	6	0	5	224	1	112124	1	3	14	3	1	0	2	1	0
33	0	1	0	1	0	32	31	19	6	1	3	225	1	112225	2	5	21	6	4	1	1	1	33
100	0	0	0	1	0	32	32	5	6	2	7	226	1	112237	1	7	6	6	2	1	0	1	100
100	0	0	0	1	0	32	32	20	6	2	7	227	1	112398	1	7	4	5	0	1	0	1	100
53	0	0	0	0	0	39	39	9	16	1122	13	228	24	687	3	11	12	15	4	0	0	0	56
46	0	0	0	0	0	39	39	13	16	20120	13	229	25	688	0	13	10	11	0	0	2	0	43
46	0	0	0	0	0	39	39	10	16	221	14	230	26	689	2	14	4	16	3	1	1	0	50
0	0	0	0	0	0	39	39	17	16	0	5	231	25	691	3	5	16	15	4	0	2	0	16
66	0	0	0	0	0	39	39	11	16	12220	13	232	25	693	0	13	6	11	0	0	2	0	56
26	0	0	0	0	0	39	39	6	16	2010	5	233	26	694	3	11	15	15	4	0	2	0	13
66	0	0	0	0	0	39	39	4	16	12220	11	234	28	695	1	11	13	11	1	0	2	0	56
66	0	0	0	0	0	39	39	5	16	2221	15	235	26	696	1	15	2	15	1	0	1	0	60
66	0	0	0	0	1	39	39	1	16	20212	13	236	27	697	3	13	8	16	4	0	0	0	66
53	0	0	0	0	0	39	39	7	16	22011	13	237	26	698	2	13	5	15	3	1	1	0	63
20	0	0	0	0	0	39	39	18	16	2000	11	238	27	101112	0	13	9	11	0	0	2	0	26
26	0	0	0	0	0	39	39	3	16	20001	13	239	27	111065	2	14	3	15	2	0	1	0	36
26	0	0	0	0	0	39	39	15	16	2010	11	240	23	111070	1	11	14	11	1	0	2	0	40
100	0	0	0	0	0	39	39	19	16	22222	11	241	28	111139	0	11	11	11	1	0	0	0	70
33	0	0	0	0	0	39	39	12	16	1102	5	242	25	111140	2	5	19	11	2	0	0	0	26
80	0	0	0	0	0	39	39	2	16	22022	14	243	25	111144	2	13	7	15	3	0	0	0	60
13	0	0	0	0	0	39	39	16	14	1001	5	244	26	111651	2	5	18	11	2	0	1	0	36
46	0	0	0	0	0	39	39	14	16	1202	16	245	26	111928	0	16	1	11	0	0	0	0	56
33	0	0	0	0	0	39	39	8	16	20011	11	246	23	112134	3	5	17	15	4	0	1	0	46
60	0	0	0	0	0	41	41	3	0	11221	10	247	20	298	2	10	3	0	2	0	1	1	66
46	0	0	0	0	0	41	41	13	0	11211	3	248	20	299	1	3	12	3	1	0	1	0	46
86	0	0	0	0	0	41	41	11	0	22221	8	249	20	300	1	8	5	3	0	0	1	0	66
66	0	0	0	0	1	41	41	1	0	1222	0	250	20	417	1	0	1	0	1	0	0	0	66
46	0	0	0	0	0	41	41	2	0	1022	8	251	19	418	2	8	6	10	2	1	0	0	50
20	0	0	0	0	0	41	41	10	10	20	5	252	20	917	3	5	16	5	2	0	2	0	30
66	0	0	0	0	0	41	41	4	0	21220	3	253	20	919	1	3	7	3	1	0	2	0	63
46	0	0	0	0	0	41	41	7	0	21020	3	254	20	920	3	3	9	10	3	0	2	0	46
33	0	0	0	0	0	41	41	8	0	2101	10	255	20	922	0	10	2	5	0	1	1	0	60
60	0	0	0	0	0	41	41	5	0	22002	3	256	20	1456	1	3	11	3	1	0	0	0	40
46	0	0	0	0	0	41	41	6	0	10202	8	257	20	1463	1	8	4	3	0	0	0	0	40
6	0	0	0	0	0	41	41	14	0	10000	5	258	20	1465	1	5	14	5	1	0	2	0	23
40	0	0	0	0	0	41	41	9	0	2002	3	259	20	1755	1	3	10	3	1	0	0	0	43
53	0	0	0	0	0	41	41	15	0	22110	3	260	20	1841	0	3	8	5	0	0	2	0	43
20	0	0	0	0	0	41	41	12	0	200	5	261	20	2041	3	5	15	3	3	0	2	0	30
20	0	0	0	0	0	41	41	16	0	2	5	262	19	112374	1	5	13	5	1	0	0	0	23
41	0	0	0	0	0	50	50	8	0	121	3	263	4	77	2	3	6	8	2	1	1	0	41
77	0	0	1	1	1	50	50	1	0	212	0	264	3	78	1	8	5	0	3	1	0	1	77
50	0	0	1	1	0	50	50	4	0	2111	8	265	4	80	1	10	2	10	1	1	1	1	50
58	0	0	0	0	0	50	50	10	0	122	10	266	4	81	1	3	7	5	0	1	0	0	58
41	0	0	0	0	0	50	50	6	0	1102	3	267	4	82	1	3	10	3	1	0	0	1	41
50	0	0	0	1	0	50	50	2	0	1121	8	268	4	83	1	10	3	10	1	1	1	1	50
8	0	1	0	0	0	50	50	12	0	1000	5	269	4	180	1	5	12	5	2	0	2	0	8
66	0	0	1	0	0	50	50	3	0	220	10	270	3	181	1	0	1	10	0	1	2	0	66
25	0	1	1	0	0	50	50	9	0	1110	3	271	4	620	2	3	8	3	1	0	2	1	25
50	0	0	1	1	0	50	50	11	0	1112	3	272	4	631	1	3	9	5	0	1	0	1	50
8	0	1	0	0	0	50	50	5	0	100	5	273	4	100804	1	5	11	5	1	0	2	0	8
41	0	0	0	0	0	50	50	7	0	1201	3	274	4	100805	1	8	4	3	0	0	1	1	41
66	0	0	1	1	0	53	53	5	0	12	1	275	2	240	1	1	4	1	1	1	0	1	66
100	0	0	0	1	0	53	53	2	0	22	0	276	2	241	1	0	1	0	1	1	0	1	100
66	0	0	1	1	1	53	54	1	0	21	2	277	2	242	1	2	5	3	0	1	1	1	66
16	0	1	0	0	1	53	53	1	0	10	3	278	2	243	2	3	14	0	4	1	2	0	16
50	0	0	0	0	0	53	53	16	0	2	3	279	2	244	1	3	11	4	0	0	0	1	50
